Treatment,gcps,PPK,PPK_Base,Point_ID,Type,Horz_Acc,Vert_Acc,Photos,RMS_Reprojection_Err,RMS_Dist_Rays,3D_Error,X Error,Y Error,Vert_Error,Horz Error
1 GCP + PPK,1,TRUE,NA,1018,GCP,0.01,0.01,1,1.66,0.01537,,,,,
1 GCP + PPK,1,TRUE,NA,1001,CP,0.01,0.01,4,1.54,0.01496,0.01337,0.01216,-0.00329,-0.00447,0.01259721
1 GCP + PPK,1,TRUE,NA,1002,CP,0.01,0.01,4,2.46,0.01933,0.02122,0.01863,0.00344,-0.00957,0.018944933
1 GCP + PPK,1,TRUE,NA,1004,CP,0.01,0.01,4,2.36,0.02645,0.02299,0.00209,-0.01374,0.01831,0.013898047
1 GCP + PPK,1,TRUE,NA,1005,CP,0.01,0.01,4,1.71,0.01717,0.04304,0.00542,-0.00567,-0.04232,0.007843806
1 GCP + PPK,1,TRUE,NA,1006,CP,0.01,0.01,4,1.91,0.02681,0.0417,-0.00196,-0.00051,0.04165,0.002025265
1 GCP + PPK,1,TRUE,NA,1008,CP,0.01,0.01,4,1.39,0.02585,0.03387,0.00198,0.00174,-0.03376,0.002635906
1 GCP + PPK,1,TRUE,NA,1009,CP,0.01,0.01,4,1.26,0.01338,0.0165,-0.00374,-0.00778,-0.01406,0.008632265
1 GCP + PPK,1,TRUE,NA,1010,CP,0.01,0.01,4,2.18,0.02024,0.02221,0.00888,-0.01322,-0.01549,0.015925539
1 GCP + PPK,1,TRUE,NA,1012,CP,0.01,0.01,4,3.31,0.02795,0.0381,0.01654,-0.01815,0.02913,0.024555938
1 GCP + PPK,1,TRUE,NA,1014,CP,0.01,0.01,4,2.5,0.0255,0.0267,0.00771,-0.0194,-0.01666,0.020875922
1 GCP + PPK,1,TRUE,NA,1015,CP,0.01,0.01,4,2.36,0.02699,0.01959,0.0094,-0.01514,0.00814,0.017820763
1 GCP + PPK,1,TRUE,NA,1016,CP,0.01,0.01,4,2.07,0.02451,0.06788,-0.00588,-0.00141,-0.06761,0.006046693
1 GCP + PPK,1,TRUE,NA,1020,CP,0.01,0.01,4,4.77,0.04026,0.04078,0.01056,-0.03833,-0.00904,0.039758049
