Treatment,GCP,PPK,PPK_Base,Point_ID,Type,Horz_Acc,Vert_Acc,Photos,RMS_Reprojection_Err,RMS_Dist_Rays,3D_Error,Horz_Error,Vert_Error
3_gcps,3,FALSE,NA,1003,GCP,0.01,0.01,4,0.12,0.00378,0.00107,0.00097,0.00044
3_gcps,3,FALSE,NA,1029,GCP,0.01,0.01,3,0.18,0.00693,0.00209,0.00123,-0.00169
3_gcps,3,FALSE,NA,1017,GCP,0.01,0.01,4,0.13,0.00172,0.00142,0.00111,0.00088
3_gcps,3,FALSE,NA,1001,CP,0.01,0.01,4,1.17,0.01151,0.00857,0.00834,-0.00195
3_gcps,3,FALSE,NA,1002,CP,0.01,0.01,4,2.12,0.01597,0.01786,0.01453,-0.01039
3_gcps,3,FALSE,NA,1004,CP,0.01,0.01,4,1.76,0.01284,0.01478,0.00854,-0.01207
3_gcps,3,FALSE,NA,1005,CP,0.01,0.01,4,1.87,0.0184,0.07175,0.00674,-0.07143
3_gcps,3,FALSE,NA,1006,CP,0.01,0.01,4,1.43,0.02098,0.02946,0.00864,0.02816
3_gcps,3,FALSE,NA,1008,CP,0.01,0.01,4,1.31,0.02195,0.01438,0.00776,-0.01211
3_gcps,3,FALSE,NA,1009,CP,0.01,0.01,4,1.64,0.01715,0.0274,0.00741,-0.02638
3_gcps,3,FALSE,NA,1010,CP,0.01,0.01,4,1.65,0.014,0.04842,0.00698,-0.04792
3_gcps,3,FALSE,NA,1012,CP,0.01,0.01,3,1.99,0.01475,0.01481,0.01296,-0.00715
3_gcps,3,FALSE,NA,1013,CP,0.01,0.01,3,1.9,0.01638,0.01522,0.01305,0.00783
3_gcps,3,FALSE,NA,1014,CP,0.01,0.01,4,1.84,0.00721,0.04429,0.00685,-0.04376
3_gcps,3,FALSE,NA,1015,CP,0.01,0.01,4,1.08,0.01757,0.00742,0.00677,0.00304
3_gcps,3,FALSE,NA,1016,CP,0.01,0.01,4,1.5,0.01836,0.05289,0.01193,-0.05152
3_gcps,3,FALSE,NA,1018,CP,0.01,0.01,4,1.14,0.01115,0.01924,0.00725,-0.01783
3_gcps,3,FALSE,NA,1020,CP,0.01,0.01,3,1.07,0.01254,0.02788,0.01066,-0.02576
3_gcps,3,FALSE,NA,1021,CP,0.01,0.01,4,2.3,0.02191,0.01807,0.0174,0.00489
3_gcps,3,FALSE,NA,1022,CP,0.01,0.01,4,2.81,0.02626,0.0345,0.01942,-0.02851
3_gcps,3,FALSE,NA,1023,CP,0.01,0.01,4,2.4,0.02298,0.02772,0.01734,0.02163
3_gcps,3,FALSE,NA,1024,CP,0.01,0.01,4,1.69,0.01645,0.04088,0.01311,0.03872
3_gcps,3,FALSE,NA,1025,CP,0.01,0.01,4,2.79,0.03246,0.07015,0.00517,0.06996
